"","ar_sc","ar_xG","ar_extxG","ar_emp"
"328",21.56,15.04,-28.91,-32.62
"329",-12.99,-23.4,17.83,19.28
"330",-38.17,23.06,-4.87,43.96
"331",-31.41,2.45,3.43,-10.27
"332",-7.39,12.67,-21.75,4.05000000000001
"333",-17.67,-32.16,22.99,84.14
"334",28.17,30.31,-3.97,-0.279999999999996
"335",-3.12,-21.07,-6.30999999999999,-24.92
"336",-9.33,38.89,-13.01,28.45
"337",-24.04,45.43,21.12,-2.11000000000001
"338",-12.59,23.76,29.02,-18.39
"339",60.07,10.17,15.03,1.13999999999999
"340",10.87,-1.79,21.39,-3.63999999999999
"341",5.3,-2.70999999999999,2.16000000000001,35.33
"342",0.369999999999997,15.22,10.07,19.05
"343",16.75,27.42,-44.97,-19.32
"344",11.92,19.85,-5.78999999999999,6.82
"345",-6.31,-4.48,11.29,0.94
"346",25.32,-0.0400000000000091,-10.46,44.17
"347",-3.58,56.41,40.1,3.41
"348",40.34,4.2,-19.71,67.23
"349",11.24,23.64,-8.16,-45.49
"350",-6.05,-1.4,-7.86999999999999,-21.89
"351",-7.31,15.07,-23.08,14.15
"352",11.87,-33.68,1.35,-30.64
"353",22.43,-19.54,0.180000000000005,-25.18
"354",15.44,7.64,-32.96,-35.1
"355",-20.31,5.01,8.54,-25.38
"356",-0.680000000000003,-28.75,23.28,-25.32
"357",-19.43,25.52,28.14,18.89
"358",-17.01,-24.2,25.07,-1.06
"359",-7.63,-3.75,2.21,-15.06
"360",-27.6,-9.11,-16.62,-36.26
"361",-23.49,-3.2,1.03,-13.77
"362",-5.12999999999999,7.07,32.3,8.49
"363",-16.63,-18.07,7.06,-5.93
"364",-17.71,-25.79,15.41,-20.33
"365",0.64,-8.02,1.93,23.18
"366",-17.17,-26.57,-0.139999999999995,26.78
"367",-10.78,-13.16,17.77,-4.17
"368",36.58,-7.56000000000001,-8.92,-6.4
"369",-1.27,18.23,12.77,36.92
"370",-30.09,35.03,13.3,21.27
"371",5.76000000000001,1.37000000000001,32.98,30.48
"372",-29.47,10.34,55.63,74.43
"373",1.22,15.73,-37.63,31.71
"374",-16.83,-20.6,-3.36,-4.6
"375",-17.54,-14.89,-2.76,42.61
"376",-8.51999999999999,-6.56,-6.21,38.79
"377",-8.38999999999999,23.91,44.57,-19.66
"378",12.2,-2.06,-0.380000000000001,44.99
"379",-41.1,0.249999999999995,-12.2,-16.56
"380",23.43,56.47,-9.45,-5.68999999999999
"381",-15.52,8.95000000000002,-11.84,2.75
"382",-2.56,-7.57,-10.98,5.46
"383",18.89,1.63,38.24,-20.21
"384",-14.69,-20.31,-38.47,40.67
"385",-12.61,-4.34,-26.07,-2.75000000000001
"386",-25.09,-17.73,35.21,11.17
"387",-15.14,40.56,33.35,-15.72
"388",4.37,-17.34,7.22,62.7
"389",-2.51,-2.28,-5.33999999999999,59.97
"390",-19.95,-21.07,35.31,44.02
"391",-29.87,10.38,26.61,52.29
"392",-8.94,20.17,8.77,56.74
"393",-27.49,37.58,20.54,-13.08
"394",2.36,-1.46,17.6,18.16
"395",-1.71,14.76,-10.31,32.39
"396",-13.64,68.09,5.17,-4.36
"397",-0.729999999999996,34.37,-31.03,-5.4
"398",-5.18,26.94,52.97,100.15
"399",-8.55000000000001,13.2,0.999999999999998,41.95
"400",0.36000000000001,-26.66,24.34,-3.03000000000001
"401",-16,38.35,12.3,-10.61
"402",-4.85,63.99,5.73,-25.69
"403",-22.04,1.63,12.12,8.15
"404",1.76999999999999,16.51,-12.34,-7.03000000000001
"405",23.91,5.13,-0.789999999999996,-8.46
"406",23.4,33.23,24.6,0.309999999999999
"407",-17.52,10.01,32.31,3.21
"408",-10.25,40.94,3.1,-11.62
"409",1.77,15.38,2.07,-29.92
"410",4.49000000000002,-7.57,-3.91,29.94
"411",13.95,-11.62,0.359999999999996,-9.13999999999999
"412",12.28,4.71,-22.95,-21.8
"413",5.55,12.66,-30.62,16.23
"414",0.329999999999996,8.93,18.44,13.4
"415",-14.4,1.28000000000001,-21.05,35.76
"416",0.900000000000001,51.95,-7.27,2.78
"417",7.63000000000001,3.86,-0.619999999999983,-32.42
"418",-29.46,-17.02,4.36,27.65
"419",9.69,11.04,5.53000000000002,-53.04
"420",14.87,38.96,0.65,-18.8
"421",36.55,31.28,35.03,-47.85
"422",-39.09,19.98,22.33,7.74
"423",0.290000000000003,19.71,9.98,-12.74
"424",12.39,36.86,-11.06,41.19
"425",-9.21,-16.63,21.31,38.49
"426",-9.91,15.18,-18.67,-13.91
"427",-3.78,-12.34,12.81,-3.87
"428",10.54,-4.70999999999999,-8.36,59.2
"429",-28.89,-17.53,3.44,49.69
"430",12.85,0.839999999999992,-2.83999999999999,-6.52
"431",11.66,-24.05,-23.7,-9.25
"432",-5.55999999999999,28.85,10.22,34.61
"433",-14.05,-25.77,7.74,-47.97
"434",-26.26,5.84000000000001,2.97,87.17
"435",-40.95,-17.7,-9.66,-37
"436",-0.0299999999999954,-9.54,21.2,42.45
"437",4.9,28.72,-11.32,6.56
"438",-0.809999999999999,-20.13,5.04,52.11
"439",39.03,21.94,31.05,-3.75
"440",-28.7,-31.73,-18.51,-18.5
"441",-4.88,-20.59,-15.06,16.63
"442",-5.05999999999999,0.590000000000002,27.54,33.29
"443",-6.55000000000001,40.27,17.1,11.62
"444",-21.04,18.62,14.06,14.44
"445",37.05,8.02,4.32,-26.46
"446",2.99,13.67,2.36,-23.51
"447",11.86,34.55,-0.739999999999998,-33.92
"448",34.69,0.240000000000004,-26.91,-31.13
"449",14.83,-15.37,2.76,-15.23
"450",39.86,13.3,-0.610000000000006,7.91
"451",12.92,-21.45,4.69,66.81
"452",1.31,-19.85,2.23,23.91
"453",-13.61,8.98000000000001,-13.86,-3.16
"454",-15.95,4.81,24.93,39.26
"455",0.160000000000001,2.67,16.18,44.67
"456",-16.55,-8.46999999999999,-1.72,-34.16
"457",0.720000000000004,25.55,-5.62,22.04
"458",-38.72,-28.32,-15.43,15.45
"459",-11.86,-34.96,-28.21,18.37
"460",-8.31,-8.51,-2.86,-14.14
"461",-7.83,4.86,-33.28,8.97000000000001
"462",35.36,-36.46,-1.28,-13.57
"463",3.49,-15.79,27.17,74.29
"464",64.3,16.64,6.12,4.16
"465",49.67,-8.01,82.2,-32.07
"466",-14.69,-5.46,-5.04,-57.4
"467",-6.59,-12.14,-23.16,11.64
"468",36.26,-42.28,22.24,-15
"469",5.04,32.29,15.3,55.5
"470",17.8,-2.8,-8.91,16.37
"471",28.94,24.42,7.21,-24.7
"472",14.49,15.02,11.43,67.77
"473",43.09,20.18,-1.31,42.33
"474",4.45,-14.65,-8.46,63.97
"475",-12.13,31.33,5.02,12.09
"476",9.37000000000001,13.17,29.68,-17.26
"477",-14.87,19.18,3.3,46.96
"478",29.44,-0.909999999999993,28.37,15.52
"479",35.04,17.27,16.59,-15.64
"480",48.59,28.5,21.38,-0.119999999999999
"481",-11.06,-15.71,28.54,29
"482",3.04,-25.15,10.13,-31.32
"483",43.43,-2.88999999999999,-0.659999999999993,26.49
"484",-8.53000000000001,-21.8,-7.74,44.71
"485",0.140000000000004,22.03,2.68999999999999,45.51
"486",-7.51,-21.49,-18.35,18.89
"487",-1.96,7.15000000000001,-10.46,-0.419999999999997
"488",-12.83,-32.78,28.02,23.24
"489",5.23,32.23,-9.60999999999998,10.1
"490",-54.6,-9.76,-29.73,35.99
"491",17.84,12.34,-26.84,3.43
"492",-11.38,17.63,39.59,-16.12
"493",-11.77,-14,-13.53,10.05
"494",-27.31,-28.46,-2.31,-4.51
"495",28.59,-29.01,9.56999999999999,-10.36
"496",-18.66,24.88,18.21,41.72
"497",-66.26,36.05,18.4,47.31
"498",16.85,29.58,-8.98999999999999,39.46
"499",-3.94,4.36,-13.75,-32.43
"500",26.47,60.41,-24.12,-1.48
"501",1.34,22.82,13.75,44.11
"502",7.54,-9.94,-4.57,59.98
"503",-27.49,-12.28,-38.76,16.3
"504",-8.37,22.25,-7.52,-6.24999999999999
"505",13.8,1.84000000000001,13.84,-17.06
"506",31.26,6.42000000000001,-12.16,43.51
"507",34.77,5.59,18.21,13.24
"508",33.01,-5.92999999999999,38.97,13.55
"509",-1.13,-16.67,24.42,46.23
"510",21.21,6.50000000000001,-18.37,1.91000000000001
"511",33.31,4.67000000000001,22.23,26.29
"512",19.15,9.44,-1.52,-64.77
"513",-16.29,-25.71,28.52,19.11
"514",-25.29,4.99000000000001,22.36,90.82
"515",-8.59,-22.72,1.23,6.58
"516",21.05,17.96,18.88,-20.63
"517",24.56,-9.79,6.6,-25.85
"518",13.96,15.19,16.75,18.32
"519",-6.42,27.36,30.31,-5.31999999999998
"520",-7.77999999999999,-20.12,9.53000000000001,-19.37
"521",28.86,20.19,-36.62,13.96
"522",20.11,-11.69,-10.46,-29.11
"523",0.159999999999999,2.36000000000001,-25.67,10.16
"524",44.06,25.11,0.060000000000004,30.16
"525",-22.2,14.12,-39.48,45.7
"526",-13.79,-6.82,-2.13,47.46
"527",12.37,-22.59,23.07,-8.59
"528",14.93,4.90000000000001,11.42,3.01
"529",13.54,27.03,11.44,39.68
"530",-1.44000000000001,4.13,21.62,14.22
"531",3.92,5.69,24.82,60.9
"532",3.33066907387547e-15,-24.28,17.5,-1.45
"533",-8.26,-13.72,20.26,39.95
"534",-13.02,-5.01,-18.81,7.74999999999999
"535",-19.42,17.55,17.75,24.48
"536",-30.88,19.34,25.55,-12.59
"537",-1.14,25.07,-23.24,-18.07
"538",14.08,40.76,-13.28,-22.31
"539",-38.31,7.08999999999999,16.53,-7.75
"540",-19.34,5.06,-17.57,-28.72
"541",6.52,0.939999999999997,6.90000000000001,25.03
"542",26.26,25.03,23.91,12.59
"543",-36.4,-10.37,-15.58,-3.04
"544",-5.80000000000001,-43.48,-12.46,-11.43
"545",37.33,-16.45,-27.94,-21.81
